Code,Country,Obesity_Percentage,Population,Mean_BMI,id,Malnutrition_Percentage,Underweight_Percentage,Per_Capita_Wastage,Total_Wastage,Daily_Spend,Cost_Meat,Cost_Fruit,Cost_Lentils,Cost_Oils,Cost_StarchyStaples,Cost_Vegetables,Unaffordability,Continent
NAM,Namibia,17,2567012,24.2,516,22.2,13.3,76.59935382,232106,5.6841736,1.04,0.67,0.25,0.18,0.68,0.97,1500000,Africa
NRU,Nauru,69.9,12668,32.5,520,0,0.4,50.05440696,598,5.6519923,0,0,0,0,0,0,0,Oceania
NPL,Nepal,7,30547580,22.5,524,5.7,10.5,95.50765402,2831907,7.4121175,0.92,0.72,0.39,0.27,0.6,0.79,13100000,Asia
NLD,Netherlands,14.5,17700982,25.6,528,1.8,1.5,56.83564928,1036040,59.726303,0.61,0.69,0.25,0.07,0.32,0.59,200000,Europe
NZL,New Zealand,33.6,5117200,28,554,1.8,1.3,60.71991622,316590,0,0.69,0.86,0.31,0.06,0.33,0.61,0,Oceania
NIC,Nicaragua,33.6,6948392,27.2,558,19.6,3,90.59070522,626538,8.074234,1.23,0.54,0.33,0.2,0.88,0.89,1800000,North America
NER,Niger,6,26207977,21.8,562,13.3,18.9,89.19984907,2411286,2.1318378,1.5,0.72,0.26,0.18,0.43,0.47,21900000,Africa
NGA,Nigeria,12.4,218541212,23.2,566,18,9.6,106.549478,24791826,2.9532702,1.01,0.34,0.25,0.15,1,0.75,167400000,Africa
NIU,Niue,66.6,NIU,32.4,570,0,0.7,0,0,0,0,0,0,0,0,0,0,Oceania
MKD,Macedonia,27.5,1831712,26.8,807,1.8,2.3,98.3598554,179311,13.475552,1.18,0.78,0.44,0.15,0.55,0.77,400000,Europe
NOR,Norway,19.1,5457127,26.7,578,1.8,1.3,75.94868613,423540,65.29984,0.87,0.79,0.35,0.09,0.62,0.93,100000,Europe
PSE,West Bank,37.6,5043612,0,275,0,3.1,97.32851237,534863,11.421007,0.72,0.46,0.25,0.15,0.56,0.43,300000,Asia
OMN,Oman,31.1,4576298,26.3,512,5.7,4.5,85.4703363,451415,0,0.82,0.44,0.37,0.15,0.34,0.47,0,Asia
PAK,Pakistan,23,235824862,23.9,586,20.7,8.9,122.3976137,30754726,4.0731707,1.1,0.78,0.33,0.28,0.46,0.39,135800000,Asia
PLW,Palau,41.1,18055,29.5,585,0,1.2,71.37609494,1263,0,0,0,0,0,0,0,0,Oceania
PAN,Panama,36.1,4408581,26.9,591,5.6,2.5,98.62453993,445347,19.735992,1.22,0.75,0.38,0.2,0.76,1.12,2000000,North America
PNG,Papua New Guinea,20.5,10142619,25.6,598,27.7,3.1,85.39809956,903213,2.6180224,0,0,0,0,0,0,0,Oceania
PRY,Paraguay,33,6780744,26.7,600,4.5,2.6,89.37200089,619272,12.639644,0.84,0.74,0.96,0.14,0.45,1.02,1600000,South America
PER,Peru,27.3,34049588,26.7,604,7,1,87.19832952,2983735,9.394887,1.04,0.62,0.47,0.18,0.63,0.61,11400000,South America
PHL,Philippines,8.7,115559009,23.2,608,5.9,10.1,25.50481682,2954580,4.9763155,0.8,0.77,0.37,0.2,0.68,1.02,58500000,Asia
POL,Poland,27.5,36821749,26.7,616,1.8,1.7,62.05629593,2391600,33.879444,0.8,0.65,0.42,0.11,0.4,1.05,3100000,Europe
PRT,Portugal,21.8,10409704,25.6,620,1.8,1.6,122.1528397,1273480,29.239334,0.74,0.62,0.36,0.11,0.35,0.82,1300000,Europe
PRI,Puerto Rico,41.1,3220113,0,630,0,2.7,88.23360681,286071,0,0,0,0,0,0,0,0,North America
QAT,Qatar,43.1,2695122,29.2,634,0,1.8,82.28196902,250830,74.374855,0.72,0.46,0.25,0.15,0.56,0.49,0,Asia
KOR,South Korea,7.3,51672569,23.8,410,1.8,4.1,95.15302334,4921086,50.183186,1.44,1.4,0.5,0.11,0.5,1.63,5200000,Asia
MDA,Moldova,23,2538894,27,498,1.8,1.7,76.13312861,231061,10.60901,0.78,0.75,0.21,0.16,0.55,0.41,300000,Europe
ROU,Romania,34,19047009,26.9,642,1.8,2.3,69.62840059,1323991,23.197407,1.02,0.72,0.42,0.11,0.44,0.53,11500000,Europe
RUS,Russia,24.2,144236933,26.2,643,1.8,2.5,33.35017263,4829772,17.48153,0.64,0.62,0.29,0.15,0.41,0.52,2700000,Asia
RWA,Rwanda,4.9,13776698,22.1,646,31.4,8.6,135.9202755,1937761,2.0738049,1.43,0.4,0.22,0.23,0.62,0.32,10000000,Africa
KNA,Saint Kitts and Nevis,45.6,47657,29.5,659,0,2.7,93.95213799,4401,0,0.68,0.9,0.4,0.18,0.63,1.15,0,North America
LCA,Saint Lucia,33.5,179857,30,662,0,3.8,91.4689781,16441,13.024724,0.93,0.51,0.32,0.22,0.81,1.08,100000,North America
VCT,Saint Vincent and the Grenadines,33.2,103948,27.2,670,4.8,3.8,90.78079033,9134,0,0.81,0.73,0.72,0.27,0.87,1.55,0,North America
WSM,Samoa,62.4,222382,32.2,882,5.4,0.4,86.49246167,18857,7.5771036,0,0,0,0,0,0,0,Oceania
STP,Sao Tome and Principe,16.5,227380,24.8,678,16.4,6.4,87.03128184,20499,3.998577,0.87,0.15,0.28,0.11,0.52,0.78,100000,Africa
SAU,Saudi Arabia,40.6,36408820,28.5,682,3,4,112.4371665,3818681,0,1.02,0.8,0.43,0.24,0.27,0.45,0,Asia
SEN,Senegal,10.2,17316449,23,686,4.6,19.2,71.80234569,1328487,4.4646606,1.05,0.29,0.31,0.19,0.52,0.61,8000000,Africa
SRB,Republic of Serbia,22.5,6664449,26.1,688,1.8,2.7,115.8634961,780482,16.992344,0.98,0.75,0.59,0.13,0.69,0.86,600000,Europe
SYC,Seychelles,29.4,119878,26.7,690,1.8,3.9,154.0354859,20089,19.497965,1.04,0.32,0.37,0.16,0.58,1.15,100000,Africa
SLE,Sierra Leone,7.1,8605718,22.7,694,28.4,7.4,91.65785314,792109,2.9593496,1.18,0.26,0.38,0.11,0.65,0.42,5200000,Africa
SGP,Singapore,13.9,5637022,23.6,702,0,6.7,70.15683108,409182,0,0.67,0.81,0.35,0.12,0.53,0.76,0,Asia
SVK,Slovakia,26.8,5431752,26.4,703,3.6,1.9,66.57272153,366600,23.478302,0.62,0.64,0.33,0.09,0.37,0.92,1100000,Europe
SVN,Slovenia,19.4,2111986,26.6,705,1.8,1.6,36.02208902,76320,43.440727,0.74,0.75,0.39,0.08,0.31,0.76,100000,Europe
SLB,Solomon Islands,22.6,724273,26.3,90,19.4,2,38.13730014,31242,3.103404,0,0,0,0,0,0,0,Oceania
SOM,Somalia,14.6,17597511,23.2,706,51.3,19,85.17859773,1619177,0,1.3,0.37,0.73,0.24,0.71,0.79,0,Africa
ZAF,South Africa,30.8,59893885,27.3,710,8.1,5.2,44.05724668,2819981,4.7534223,1.08,0.66,0.31,0.1,0.56,0.68,36400000,Africa
SSD,South Sudan,8.6,10913164,0,728,19.6,17.1,84.03854849,1003706,1.5208117,1.48,0.4,0.45,0.2,0.72,0.7,10000000,Africa
ESP,Spain,15.7,47778340,25.9,724,1.8,1.8,60.43084501,2895272,41.36567,0.68,0.83,0.23,0.08,0.31,0.79,4400000,Europe
LKA,Sri Lanka,10.6,22181000,23.1,144,4.1,13.4,71.68354715,1656148,6.91304,1.01,0.97,0.24,0.43,0.53,0.93,7400000,Asia
SDN,Sudan,17,46874204,0,729,11.4,16.1,107.3267458,5414527,3.6616235,0.66,0.25,0.24,0.2,0.35,0.42,19000000,Africa
SUR,Suriname,29,618040,26.5,740,10.1,7.2,89.26108592,56630,13.008748,1.12,1.07,0.95,0.22,0.62,1.45,200000,South America
SWE,Sweden,15.3,10486941,26,752,1.8,1.3,60.67219761,643550,51.530468,0.59,0.81,0.4,0.09,0.31,0.9,400000,Europe
CHE,Switzerland,12.1,8775760,25.2,756,1.8,2.6,116.7766572,1041879,65.79692,0.63,0.63,0.34,0.11,0.24,0.7,100000,Europe
SYR,Syria,33.9,22125249,28.3,760,34,3.5,153.9359943,3798032,2.959133,1.86,0.84,0.62,0.49,0.94,0.37,18400000,Asia
TUR,Turkey,33.3,84979913,27.9,792,1.8,2.1,99.39339551,8694318,19.567127,1.14,0.97,0.42,0.19,0.51,0.6,7400000,Europe
TJK,Tajikistan,23.8,9952787,26.1,762,8.7,4.2,80.52771719,852861,5.334834,0.99,0.89,0.27,0.27,0.76,0.53,3200000,Asia
THA,Thailand,15.4,71697030,24.4,764,5.6,6.3,86.23748395,6180468,12.927706,0.89,0.79,0.98,0.15,0.82,0.89,13100000,Asia
TLS,East Timor,2.4,1341296,21.3,626,15.9,21.1,74.55091958,104419,2.8969195,0,0,0,0,0,0,0,Asia
TGO,Togo,11.6,8848699,23.6,768,12.8,7.7,85.56673295,814188,3.2011387,1.2,0.28,0.23,0.19,0.61,0.35,4700000,Africa
TON,Tonga,71.7,106858,32.2,776,0,0.3,93.01655868,9690,9.959987,0,0,0,0,0,0,0,Oceania
TTO,Trinidad and Tobago,28.1,1531044,27.6,780,12.6,6.2,89.3187335,134673,10.1245775,0.92,1.22,0.4,0.18,0.69,1.1,600000,North America
TUN,Tunisia,26.8,12356117,26.3,788,3.2,3.8,172.8266447,2121810,11.934058,1.17,1.19,0.59,0.18,0.3,0.61,900000,Africa
TKM,Turkmenistan,21.4,6430770,26.6,795,4.1,3,75.57982521,566433,2.3988008,0,0,0,0,0,0,0,Asia
TUV,Tuvalu,64.2,11312,30.8,798,0,0.7,91.33319511,881,6.2684546,0,0,0,0,0,0,0,Oceania
UGA,Uganda,7.9,47249585,22.5,800,36.9,11.4,104.1500667,5209076,2.4753115,1.21,0.3,0.3,0.28,0.64,0.42,32700000,Africa
UKR,Ukraine,23.6,38000000,26.6,804,5.8,1.5,72.84792473,2758037,12.599212,0,0,0,0,0,0,0,Europe
ARE,United Arab Emirates,32.1,9441129,28.4,784,2.7,2.2,84.37639996,930427,74.25184,0.99,0.48,0.35,0.26,0.45,0.32,100000,Asia
GBR,United Kingdom,26.8,67791000,27.1,826,1.8,1.7,73.72198003,5097005,46.870113,0.47,0.58,0.23,0.06,0.16,0.44,2000000,Europe
TZA,United Republic of Tanzania,12.6,65497748,23.2,834,23.8,10.6,145.2810231,9960496,2.3307555,0.93,0.15,0.27,0.3,0.59,0.19,47800000,Africa
USA,United States of America,42,333271411,28.9,840,1.8,1.7,71.55358151,24716539,62.40085,0.56,0.53,0.17,0.06,0.29,0.74,8400000,North America
